NO;KELURAHAN;Y1;Y2;Y3;Y4;Y5;Y6;Y7;Y8;Y9;Y10;Y11;Y12;Y13;Y14;Y15;Y16;Y17
1;ARGASUNYA;97,62;81,61;100;61;0;100;98,02;64,6;0,11;6,4;36;50,39;4,44;25,51;1,63;3,8;95,4
2;KALIJAGA;72,97;99,62;67,91;72;82,26;100;100;91,3;0,04;9,9;72;99,18;3,56;28,79;1,2;3,73;99,21
3;HARJAMUKTI;28,07;100;72,84;84;100;91,6;58,14;100;0;6;76;97,18;2,65;66,89;0,88;2,69;83,15
4;KECAPI;61,54;89,87;100;79;100;95;100;83,7;0;13,6;85;96,74;1,68;39,87;0,53;1,79;97,41
5;LARANGAN;20,69;100;79,73;83;0;92;38,1;100;0;13,6;100;100;0,63;98,52;0,15;0,71;100
6;PEGAMBIRAN;74,58;92,29;65,11;35;0;95,6;100;90,5;0;14,2;100;97,13;3,11;68,69;1,37;2,83;95,71
7;KESEPUHAN;26,09;100;70,27;73;87,05;88;100;90,6;0;7,8;100;84,83;1,82;51,06;0,61;1,26;91,91
8;LEMAHWUNGKUK;100;85,16;19,68;63;100;53,7;100;88,9;0;9,4;100;94,47;1,03;76,9;0,42;0,8;86,37
9;PANJUNAN;37,05;95,86;23,46;73;0;100;100;99,3;0;11,7;92;97,42;1,07;82,56;0,35;0,87;97
10;JAGASATRU;40;88,71;63,78;81;95,24;90;77,07;80,4;0;17,6;100;94,41;1,07;87,38;0,38;0,9;90,97
11;PULASAREN;100;91,58;0;55;0;88;63,04;56,9;0,11;5,1;95;81,4;0,77;27,84;0,26;0,61;69,19
12;PEKALIPAN;80;100;0;49;70;86,9;37,07;60,8;0;32,4;99;96,35;0,57;76,44;0,24;0,54;97,11
13;PEKALANGAN;100;74,51;0;58;100;100;100;45,1;0;11,7;100;96,8;0,56;40,53;0,2;0,49;96,55
14;KARYAMULYA;9,23;84,11;100;75;56,67;82;30,58;80,3;0;10,3;95;99,45;2,64;86,11;0,61;2,08;97,16
15;SUNYARAGI;100;95,81;100;91;100;97,2;100;100;0;30,6;97;94,56;1,21;65,16;0,3;1,07;96,84
16;DRAJAT;100;95,33;100;63;95,24;88;100;88,7;0;27,7;100;92,24;1,22;24,56;0,44;1,09;91,38
17;KESAMBI;83,33;100;57,84;65;98,36;82,8;59,32;79,3;0;30,7;97;84,16;0,62;63,21;0,2;0,68;98,31
18;PEKIRINGAN;26,67;100;98,84;78;10;81;65,79;77,9;0;15,8;100;73,48;0,81;45,69;0,25;0,76;87,9
19;KEJAKSAN;54,55;100;0;68;100;99;81,48;51,4;0;3,4;88;98,17;0,68;82;0,23;0,73;90,71
20;KEBONBARU;50;100;91,76;72;89,66;91,4;100;91,9;0;5,5;100;95,63;0,56;70,83;0,21;0,62;92,13
21;SUKAPURA;100;100;93,11;74;77,27;90;92,77;75;0;3,6;99;93,08;1,02;90,29;0,4;1,12;95,21
22;KESENDEN;100;100;100;81;99;100;100;76;0;6,4;100;97,98;1,19;78,33;0,43;0,9;98,95
